01 01 2017, 0.00, 7.22
02 01 2017, 0.00, 6.41
03 01 2017, 0.00, 11.44
04 01 2017, 41.96, 7.89
05 01 2017, 4.79, 4.89
06 01 2017, 0.00, 3.80
07 01 2017, 0.00, 7.60
08 01 2017, 0.00, 6.66
09 01 2017, 0.00, 7.39
10 01 2017, 0.00, 4.93
11 01 2017, 0.00, 6.42
12 01 2017, 0.16, 9.90
13 01 2017, 0.00, 10.45
14 01 2017, 0.00, 7.45
15 01 2017, 0.00, 7.81
16 01 2017, 0.00, 4.14
17 01 2017, 1.27, 4.40
18 01 2017, 0.00, 6.74
19 01 2017, 0.00, 9.74
20 01 2017, 0.00, 10.69
21 01 2017, 0.00, 9.34
22 01 2017, 0.00, 6.17
23 01 2017, 0.00, 5.12
24 01 2017, 0.00, 6.43
25 01 2017, 0.00, 7.85
26 01 2017, 0.00, 7.92
27 01 2017, 0.00, 4.73
28 01 2017, 0.00, 3.80
29 01 2017, 0.00, 10.86
30 01 2017, 0.00, 12.91
31 01 2017, 0.00, 10.22
01 02 2017, 0.00, 8.27
02 02 2017, 0.00, 6.90
03 02 2017, 0.00, 16.10
04 02 2017, 0.00, 12.40
05 02 2017, 0.00, 13.29
06 02 2017, 0.00, 8.07
07 02 2017, 0.00, 5.92
08 02 2017, 0.00, 4.90
09 02 2017, 0.00, 4.31
10 02 2017, 0.00, 8.81
11 02 2017, 0.00, 10.45
12 02 2017, 0.00, 8.32
13 02 2017, 0.00, 4.83
14 02 2017, 0.00, 6.94
15 02 2017, 0.00, 9.19
16 02 2017, 0.00, 14.84
17 02 2017, 0.00, 12.85
18 02 2017, 5.90, 9.33
19 02 2017, 0.00, 8.04
20 02 2017, 0.00, 14.71
21 02 2017, 8.51, 15.08
22 02 2017, 5.31, 19.69
23 02 2017, 0.06, 18.14
24 02 2017, 3.76, 8.65
25 02 2017, 0.00, 8.50
26 02 2017, 0.00, 15.70
27 02 2017, 11.51, 9.62
28 02 2017, 1.67, 9.74
01 03 2017, 0.00, 7.75
02 03 2017, 14.05, 8.92
03 03 2017, 0.00, 7.05
04 03 2017, 0.00, 11.23
05 03 2017, 10.33, 12.85
06 03 2017, 0.00, 12.51
07 03 2017, 0.00, 9.87
08 03 2017, 2.03, 8.89
09 03 2017, 1.66, 7.87
10 03 2017, 7.79, 8.70
11 03 2017, 11.71, 11.24
12 03 2017, 0.00, 6.64
13 03 2017, 0.00, 6.32
14 03 2017, 0.00, 15.67
15 03 2017, 0.22, 7.11
16 03 2017, 0.00, 12.70
17 03 2017, 5.93, 14.56
18 03 2017, 13.26, 12.58
19 03 2017, 0.00, 13.54
20 03 2017, 5.33, 19.36
21 03 2017, 30.75, 17.80
22 03 2017, 0.00, 6.48
23 03 2017, 0.00, 18.05
24 03 2017, 0.00, 6.89
25 03 2017, 0.00, 12.94
26 03 2017, 0.00, 9.62
27 03 2017, 0.00, 11.59
28 03 2017, 0.00, 10.36
29 03 2017, 7.87, 18.54
30 03 2017, 0.78, 22.35
31 03 2017, 0.00, 16.45
01 04 2017, 0.00, 14.08
02 04 2017, 0.00, 18.11
03 04 2017, 0.00, 12.60
04 04 2017, 0.00, 18.68
05 04 2017, 13.23, 16.69
06 04 2017, 18.59, 10.08
07 04 2017, 0.22, 19.21
08 04 2017, 6.68, 17.39
09 04 2017, 0.24, 10.93
10 04 2017, 0.00, 12.98
11 04 2017, 0.00, 11.19
12 04 2017, 19.14, 17.75
13 04 2017, 71.09, 9.84
14 04 2017, 0.00, 9.52
15 04 2017, 10.74, 17.26
16 04 2017, 3.78, 11.28
17 04 2017, 0.00, 9.34
18 04 2017, 15.05, 8.26
19 04 2017, 0.00, 5.54
20 04 2017, 0.53, 6.59
21 04 2017, 0.00, 15.87
22 04 2017, 17.32, 8.55
23 04 2017, 0.00, 10.24
24 04 2017, 0.00, 11.18
25 04 2017, 3.83, 15.14
