Estación:       PSA. JALPAN,  QRO
Operada por:    SMN EMAS
Longitud:       99°28'19  Longitud: 21°12'23  Altitud: 773

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL     NIVEL
25/01/2018 22:00          14         356        0.29       70.60        18.2          59       932.5         0.0        62.7      16.735
25/01/2018 23:00           3         357        5.28       67.00        17.7          61       932.9         0.0        21.8      16.737
26/01/2018 00:00         158         155       13.14       62.60        16.9          62       933.0         0.0         2.8      16.736
26/01/2018 01:00         167         158        5.76       70.90        16.2          71       933.3         0.0         0.0      16.732
26/01/2018 02:00         170         157       17.11       81.70        15.8          76       933.7         0.0         0.0      16.730
26/01/2018 03:00          43         180        1.69       65.20        15.8          74       934.1         0.0         0.0      16.733
26/01/2018 04:00         169         180       10.60       60.80        15.5          76       934.2         0.0         0.0      16.734
26/01/2018 05:00           5         170        8.36       32.40        14.9          78       933.9         0.0         0.0      16.733
26/01/2018 06:00         345         325       14.31       36.00        14.6          78       933.9         0.0         0.0      16.732
26/01/2018 07:00         348         180        4.92       55.40        14.5          80       933.6         0.0         0.0      16.732
26/01/2018 08:00         186         180        1.98       56.90        14.4          82       933.1         0.0         0.0      16.730
26/01/2018 09:00         348         358        3.51       67.00        14.3          82       932.6         0.0         0.0      16.730
26/01/2018 10:00         193         358        1.52       69.10        14.2          83       932.5         0.0         0.0      16.730
26/01/2018 11:00         160         174       17.49       54.40        14.1          85       932.6         0.0         0.0      16.729
26/01/2018 12:00         166         169       25.82       38.50        14.1          87       932.7         0.0         0.0      16.727
26/01/2018 13:00         165         171       24.58       38.20        13.8          90       933.0         0.0         2.8      16.726
26/01/2018 14:00         169         359       11.38       61.20        14.1          91       933.6         0.0        56.3      16.726
26/01/2018 15:00          67         146        0.60      104.40        15.1          87       933.9         0.0       180.2      16.722
26/01/2018 16:00         167         359        4.43       67.00        16.4          80       933.9         0.0       257.3      16.720
26/01/2018 17:00          10         140        1.26       43.90        17.8          73       933.3         0.0       442.8      16.716
26/01/2018 18:00           1         358        2.12       70.20        20.5          63       931.9         0.0       654.3      16.714
26/01/2018 19:00         359         352        0.45       68.40        21.4          57       930.5         0.0       617.0      16.708
26/01/2018 20:00          22         155        0.71       73.10        22.9          51       929.1         0.0       657.8      16.713
26/01/2018 21:00           2         155        1.42       74.20        23.7          48       927.9         0.0       555.5      16.709
26/01/2018 22:00           2         359        1.22       68.00        24.9          45       927.1         0.0       362.2      16.710
26/01/2018 23:00         351         354        3.83       75.60        25.2          44       927.1         0.0       152.7      16.711
27/01/2018 00:00         358         158        1.53       46.80        20.9          58       927.6         0.0         3.3      16.712
27/01/2018 01:00          29         352        0.75       64.10        18.2          70       928.9         0.0         0.0      16.709
27/01/2018 02:00         151         180        2.12       69.80        18.2          72       929.8         0.0         0.0      16.702
27/01/2018 03:00          49         359        1.27       65.20        18.0          75       930.2         0.0         0.0      16.708
27/01/2018 04:00         151         180        1.80       43.20        17.6          78       930.2         0.0         0.0      16.708
27/01/2018 05:00         156         180        6.14       59.80        17.3          79       930.2         0.0         0.0      16.709
27/01/2018 06:00         170         155        7.64       67.30        16.8          82       929.8         0.0         0.0      16.711
27/01/2018 07:00         174         180        6.36       63.40        16.1          86       929.7         0.0         0.0      16.710
27/01/2018 08:00         170         154        8.79       70.90        16.0          87       929.4         0.0         0.0      16.711
27/01/2018 09:00         168         161        6.28       96.10        16.0          88       929.1         0.0         0.0      16.711
27/01/2018 10:00         164         180        6.62       65.50        15.9          86       928.7         0.0         0.0      16.711
27/01/2018 11:00         157         179        9.46       40.70        15.7          86       928.6         0.0         0.0      16.708
27/01/2018 12:00         174         174        7.98       33.50        15.4          88       928.9         0.0         0.0      16.713
27/01/2018 13:00         164         176       14.14       55.80        15.2          90       929.6         0.0         4.8      16.712
27/01/2018 14:00         168         357        3.40       68.80        15.8          88       930.1         0.0        48.3      16.712
